childId,childName,parentId,parentName
18794,"event: 'in memorium George Maciunas', Kunstakademie, Düsseldorf, 1978",18725,arts
14280,polar bear,67,animals: mammals
11849,"Chaucer, Geoffrey, 'Canterbury Tales: The Merchant's Tale'",58,literature (not Shakespeare)
17163,"Venice, Chiesa di Gesuati",107,"cities, towns, villages (non-UK)"
3463,"Dieppe landing, 19 Aug 1942",37,military: World War II
5361,"Canetti, Elias",58,literature (not Shakespeare)
13346,kestrel,62,animals: birds
13764,running,54,sport
9970,Alcinous,141,classical myths: gods and heroes
9971,Arete,141,classical myths: gods and heroes
12840,"Grose, Francis",102,named individuals
11704,Ailsa Craig,112,UK natural features
9685,"Nares, Robert",102,named individuals
4190,Aulis,107,"cities, towns, villages (non-UK)"
16386,Aulis,109,historical: imagined views
4196,Virgin Mary - dove,165,religious
4197,Virgin Mary - moon,165,religious
17584,morning star,69,astronomy
17336,"Jantjes, Gavin",102,named individuals
17337,identity card,174,"reading, writing, printed matter"
16427,Orion,141,classical myths: gods and heroes
9167,Mount Moriah,111,natural features (non-UK)
17941,"New York, Brooklyn",107,"cities, towns, villages (non-UK)"
4291,aspidistra,72,plants and flowers
15558,helichrysum,72,plants and flowers
9397,"Duncan, Robert",102,named individuals
12557,Buckden Pike,112,UK natural features
18527,gas mask,88,clothing and personal effects
12026,"Hartsop, Hartsop Hall",115,"UK cities, towns and villages"
12024,Black Brow,112,UK natural features
12025,Dove Crag,112,UK natural features
17210,"Jeffrey, William",102,named individuals
16217,Soho - non-specific,9301,UK London
10661,"Russia, Beltir",152,dress: nations/regions
1658,Masked Zebra Kid,102,named individuals
24528,"Basel, Basel Minster",107,"cities, towns, villages (non-UK)"
10239,"Archer, William",102,named individuals
20792,"Abdul Hamid II, Sultan",102,named individuals
20798,Andranik,102,named individuals
20795,Djemal Pasha,102,named individuals
20793,Enver Pasha,102,named individuals
20794,"Saba-Ed-Din, Prince",102,named individuals
20698,Sultan Mehmed V,102,named individuals
20796,Talaat Pasha,102,named individuals
20797,"Wilhelm II, Kaiser",102,named individuals
20799,"von der Goltz, Wilhelm Leopold Colmar Freiherr",102,named individuals
20790,Ottoman-German Alliance,36,military: World War I
20791,"civil and human rights: Armenian Genocide, 1915",38,politics and society
20789,"revolution: Young Turk Revolution, 1908",38,politics and society
18657,"Baqari, Mrs",102,named individuals
10258,"Swansea, Crug Glas",115,"UK cities, towns and villages"
14629,"Nuremberg, St Clare's Church",107,"cities, towns, villages (non-UK)"
17504,St Benet Paul's Wharf,9301,UK London
12726,"Calais, Hôtel de Guise",107,"cities, towns, villages (non-UK)"
13734,"New York, Avenue of the Americas",107,"cities, towns, villages (non-UK)"
6994,"Islington, Canonbury House",9301,UK London
9432,"Lowinsky, Xenia Noelle",102,named individuals
13972,Algerian,183,nationality
17075,Angelina,102,named individuals
16817,"Lessore, Helen",102,named individuals
15742,Camaret-sur-Mer,107,"cities, towns, villages (non-UK)"
15743,engagement - pink,8024,society
15403,"Falaise, Chateau",107,"cities, towns, villages (non-UK)"
13272,"Bath, Great Roman Bath",115,"UK cities, towns and villages"
12615,Hurtlepot,112,UK natural features
6166,humanity - child resting in giant hand,1030,abstract concepts
12546,Grinton,115,"UK cities, towns and villages"
16292,"Thoreau, David",58,literature (not Shakespeare)
16291,"philosophy, I Ching",149,"education, science and learning"
12771,"Westbourne, Westbourne Grove",9301,UK London
15594,"Léger, Fernand, painting, 'The Typographer'",10639,"fine art and design, named works"
15189,Rathewalde,107,"cities, towns, villages (non-UK)"
18022,beans,286,food and drink
14315,corn,286,food and drink
18020,lentils,286,food and drink
18021,rice,286,food and drink
9538,Caub,107,"cities, towns, villages (non-UK)"
19048,"Berlin, Marx-Engels-Platz 7, Akademie-Galerie im Marstall",107,"cities, towns, villages (non-UK)"
