childId,childName,parentId,parentName
91,people,1,subject
219,child,94,children
94,children,91,people
93,body,91,people
92,actions: postures and motions,91,people
2594,looking down,92,actions: postures and motions
615,head / face,93,body
2158,crown,169,religious and ceremonial
7182,furnace,85,heating and lighting
242,crowd,97,groups
3074,courtier,869,royalty and social rank
870,king,869,royalty and social rank
7023,"Daniel, chapter 3",135,Bible: Old Testament
2341,Nebuchadnezzar,135,Bible: Old Testament
70,natural phenomena,60,nature
1491,pointing,177,actions: expressive
132,religion and belief,1,subject
116,work and occupations,1,subject
78,objects,1,subject
60,nature,1,subject
13,architecture,1,subject
97,groups,91,people
95,adults,91,people
177,actions: expressive,91,people
169,religious and ceremonial,78,objects
85,heating and lighting,78,objects
195,man,95,adults
167,woman,95,adults
135,Bible: Old Testament,132,religion and belief
5731,universal religious imagery,132,religion and belief
983,townscape,28,"townscapes, man-made features"
869,royalty and social rank,116,work and occupations
5740,miracle,5731,universal religious imagery
28,"townscapes, man-made features",13,architecture
1326,fire,70,natural phenomena
1792,smoke,70,natural phenomena
4670,hands clasped,92,actions: postures and motions
694,sitting,92,actions: postures and motions
270,standing,92,actions: postures and motions
20114,portraits,91,people
20118,individuals: male,20114,portraits
227,gestural,185,non-representational
796,irregular forms,185,non-representational
185,non-representational,184,abstraction
184,abstraction,1,subject
6729,formal qualities,29,"emotions, concepts and ideas"
22695,perspective,6729,formal qualities
29,"emotions, concepts and ideas",1,subject
106,places,1,subject
1205,London - non-specific,9301,UK London
12875,chance,6729,formal qualities
113,UK countries and regions,106,places
9301,UK London,106,places
2803,England,113,UK countries and regions
225,colour,185,non-representational
12824,computer,81,electrical appliances
9328,photographic,6729,formal qualities
451,figure,95,adults
81,electrical appliances,78,objects
287,miscellaneous,78,objects
107,"cities, towns, villages (non-UK)",106,places
108,countries and continents,106,places
9901,share trading,180,trading and commercial
16125,Chicago - non-specific,107,"cities, towns, villages (non-UK)"
46,workspaces,40,interiors
180,trading and commercial,116,work and occupations
40,interiors,1,subject
3832,office,46,workspaces
2778,paper,287,miscellaneous
1811,USA,108,countries and continents
21,monuments,13,architecture
26,residential,13,architecture
1927,palace,26,residential
241,column,21,monuments
1495,France,108,countries and continents
3276,Saint-Germain-en-Laye,107,"cities, towns, villages (non-UK)"
636,hill,71,landscape
496,wooded,71,landscape
71,landscape,60,nature
805,building - non-specific,28,"townscapes, man-made features"
880,mountain,71,landscape
745,religious,27,ruins
9808,mill,19,industrial
2711,abbey,25,religious
2868,Durham,114,UK counties
569,cow,67,animals: mammals
76,water: inland,60,nature
67,animals: mammals,60,nature
2087,bank,76,water: inland
495,river,76,water: inland
741,Gothic,22,periods and styles
8199,River Tees,112,UK natural features
114,UK counties,106,places
8285,UK man-made landmarks,106,places
112,UK natural features,106,places
22,periods and styles,13,architecture
25,religious,13,architecture
19,industrial,13,architecture
27,ruins,13,architecture
9141,Egglestone Abbey,8285,UK man-made landmarks
20,military,13,architecture
17,features,13,architecture
1138,castle,20,military
509,Wales,113,UK countries and regions
8901,"Chirk, Chirk Castle",115,"UK cities, towns and villages"
1065,tower,17,features
115,"UK cities, towns and villages",106,places
7244,Wrexham,114,UK counties
7104,"Homer, 'Odyssey'",56,classical
750,chair,82,furnishings
82,furnishings,78,objects
80,fine arts and music,78,objects
141,classical myths: gods and heroes,132,religion and belief
245,column,17,features
10069,singing,53,music and entertainment
2287,weeping,177,actions: expressive
1598,"instrument, lyre",80,fine arts and music
6571,Odysseus / Ulysses,141,classical myths: gods and heroes
5345,sadness,31,emotions and human qualities
55,literature and fiction,1,subject
47,leisure and pastimes,1,subject
53,music and entertainment,47,leisure and pastimes
31,emotions and human qualities,29,"emotions, concepts and ideas"
56,classical,55,literature and fiction
226,geometric,185,non-representational
9663,monochromatic,185,non-representational
,,,
223,landscape,189,from recognisable sources
189,from recognisable sources,184,abstraction
540,night,75,times of the day
4911,moat,76,water: inland
19508,gestural,6729,formal qualities
7016,Tower of London,9301,UK London
19674,"disaster: Tower of London, Grand Storehouse fire, 30 Oct  1841",38,politics and society
33,history,1,subject
1731,reflection,70,natural phenomena
38,politics and society,33,history
75,times of the day,60,nature
271,walking,92,actions: postures and motions
175,actions: processes and functions,91,people
276,carrying,175,actions: processes and functions
2763,back,93,body
8493,bundle,287,miscellaneous
2942,gorge,71,landscape
883,Switzerland,108,countries and continents
111,natural features (non-UK),106,places
2979,Alps,111,natural features (non-UK)
7901,Rhône valley,111,natural features (non-UK)
214,chimney,17,features
8755,gable,17,features
77,weather,60,nature
4756,Caernarfonshire and Merionethshire,114,UK counties
4753,Snowdonia,113,UK countries and regions
1347,cloud,77,weather
1400,rain,77,weather
10980,River Glaslyn,112,UK natural features
15,bridges and viaducts,13,architecture
945,bridge,15,bridges and viaducts
563,rocky,71,landscape
11335,Pont Aberglaslyn,8285,UK man-made landmarks
12259,Jungfrau,111,natural features (non-UK)
41,domestic,40,interiors
761,living room,41,domestic
1865,"boat, sailing",161,transport: water
145,society,1,subject
161,transport: water,145,society
2768,Venice - non-specific,107,"cities, towns, villages (non-UK)"
237,Italy,108,countries and continents
8864,Rigi,111,natural features (non-UK)
11099,River Reuss,111,natural features (non-UK)
5623,Lucerne - non-specific,107,"cities, towns, villages (non-UK)"
2388,waterfront,28,"townscapes, man-made features"
213,house,26,residential
11714,defacement,6729,formal qualities
6927,lifestyle and culture,145,society
72,plants and flowers,60,nature
12911,popular culture,6927,lifestyle and culture
174,"reading, writing, printed matter",78,objects
269,flower,72,plants and flowers
17647,"magazine, 'Town and Country'",174,"reading, writing, printed matter"
164,birth to death,162,symbols & personifications
166,inscriptions,162,symbols & personifications
1572,eye,93,body
757,mouth,93,body
2476,contemporary society,158,social comment
6930,fashion,6927,lifestyle and culture
1986,title of work,166,inscriptions
3527,homosexuality,157,sex and relationships
6738,sensuality,157,sex and relationships
2422,daisy,72,plants and flowers
1283,rose,72,plants and flowers
162,symbols & personifications,1,subject
1050,arm/arms raised,92,actions: postures and motions
272,kneeling,92,actions: postures and motions
158,social comment,145,society
157,sex and relationships,145,society
249,boy,94,children
5733,angel,5731,universal religious imagery
3827,death - flames,164,birth to death
3828,life - leaf,164,birth to death
1351,cliff,71,landscape
3652,tiger,67,animals: mammals
160,transport: land,145,society
4228,car part,160,transport: land
5615,tyre,160,transport: land
1707,star,69,astronomy
69,astronomy,60,nature
6243,machinery,86,tools and machinery
86,tools and machinery,78,objects
11096,Grindelwald,107,"cities, towns, villages (non-UK)"
989,"townscape, distant",28,"townscapes, man-made features"
7925,Lake of Brienz,111,natural features (non-UK)
475,lake,76,water: inland
8952,fortification,20,military
128,military,116,work and occupations
1856,"Sussex, East",114,UK counties
674,donkey,67,animals: mammals
602,horse,67,animals: mammals
7306,pack animal,160,transport: land
604,riding,160,transport: land
678,boat - non-specific,161,transport: water
1519,beach,73,seascapes and coasts
777,cliff,73,seascapes and coasts
558,coast,73,seascapes and coasts
557,sea,73,seascapes and coasts
867,soldier,128,military
769,road,28,"townscapes, man-made features"
8679,Bexhill-on-Sea,115,"UK cities, towns and villages"
73,seascapes and coasts,60,nature
6636,cake,286,food and drink
4222,"fruit, grape",286,food and drink
5193,meat,286,food and drink
799,group,97,groups
4673,tray,83,domestic
18,garden structures,13,architecture
743,garden,18,garden structures
2775,chestnut,1809,trees
555,bottle,170,vessels and containers
543,autumn,74,seasons
74,seasons,60,nature
1809,trees,60,nature
6638,"St John's Wood, Grove End Road",9301,UK London
6637,I Zingari cricket club,103,named groups
103,named groups,91,people
3557,picnic,48,eating and drinking
19657,cup / mug,84,kitchen
19665,glass,84,kitchen
22782,knife,84,kitchen
1296,plate,84,kitchen
4672,tea pot,84,kitchen
20115,groups,20114,portraits
48,eating and drinking,47,leisure and pastimes
565,reclining,92,actions: postures and motions
493,hat,88,clothing and personal effects
597,pool,76,water: inland
170,vessels and containers,78,objects
286,food and drink,78,objects
84,kitchen,78,objects
88,clothing and personal effects,78,objects
83,domestic,78,objects
6744,movement,6729,formal qualities
6746,space,6729,formal qualities
10063,dance,53,music and entertainment
30,universal concepts,29,"emotions, concepts and ideas"
1596,environment / nature,30,universal concepts
146,birth to death,145,society
20117,individuals: female,20114,portraits
18246,misalignment,6729,formal qualities
102,named individuals,91,people
588,"Monroe, Marilyn",102,named individuals
6933,cultural icon,6927,lifestyle and culture
5449,make-up,88,clothing and personal effects
118,arts and entertainment,116,work and occupations
722,death,146,birth to death
1755,memorial,146,birth to death
1662,actor,118,arts and entertainment
712,talking,177,actions: expressive
847,caricature,158,social comment
13063,Bideford,115,"UK cities, towns and villages"
942,valley,71,landscape
1558,Devon,114,UK counties
3405,quotation,166,inscriptions
15752,graffiti,28,"townscapes, man-made features"
211,wall,28,"townscapes, man-made features"
2484,"Dante, 'Divine Comedy: Inferno'",58,literature (not Shakespeare)
1070,gesticulating,177,actions: expressive
793,grimacing,177,actions: expressive
3050,sex,157,sex and relationships
2489,Hell,133,Judaeo-Christian imagery
4896,poster,174,"reading, writing, printed matter"
133,Judaeo-Christian imagery,132,religion and belief
1629,sexual organs,93,body
893,aggression,31,emotions and human qualities
58,literature (not Shakespeare),55,literature and fiction
221,figure,189,from recognisable sources
1561,farm,14,agricultural
14,agricultural,13,architecture
4527,spire,17,features
2397,River Seine,111,natural features (non-UK)
2886,Rouen - non-specific,107,"cities, towns, villages (non-UK)"
4117,army,97,groups
9207,Piacenza - non-specific,107,"cities, towns, villages (non-UK)"
2597,cart,160,transport: land
17774,universe,69,astronomy
5448,ephemerality,30,universal concepts
17861,fragility,30,universal concepts
17862,web,64,animals: features
64,animals: features,60,nature
2155,smiling,177,actions: expressive
15986,"Muir, Edwin",58,literature (not Shakespeare)
1571,poem,166,inscriptions
445,text,185,non-representational
120,religious,116,work and occupations
2113,friar / monk,120,religious
1402,beard,93,body
1321,staff,88,clothing and personal effects
1585,arm,93,body
3713,dustbin lid,83,domestic
449,walking,52,recreational activities
52,recreational activities,47,leisure and pastimes
3778,building,27,ruins
17242,sand dune,73,seascapes and coasts
4574,sky,71,landscape
2063,artist's notes,166,inscriptions
465,church,25,religious
1286,newspaper - non-specific,174,"reading, writing, printed matter"
15652,Knightsbridge,9301,UK London
43,places of entertainment,40,interiors
2800,smoking,52,recreational activities
4500,soda syphon,287,miscellaneous
37,military: World War II,33,history
3830,World War II - non-specific,37,military: World War II
826,table,82,furnishings
2209,contemplation,31,emotions and human qualities
1461,vase,170,vessels and containers
1184,"drink, beer",286,food and drink
623,bar,43,places of entertainment
5009,barrel,170,vessels and containers
263,basket,170,vessels and containers
2040,Dieppe - non-specific,107,"cities, towns, villages (non-UK)"
9035,winch,86,tools and machinery
594,girl,94,children
5060,bay,73,seascapes and coasts
1518,harbour,73,seascapes and coasts
544,embracing,177,actions: expressive
1566,reading,52,recreational activities
24,public and municipal,13,architecture
1827,tree,1809,trees
1254,carriage,160,transport: land
2030,windmill,19,industrial
810,Kent,114,UK counties
2043,lighthouse,24,public and municipal
5796,Margate - non-specific,115,"UK cities, towns and villages"
21515,animal - non-specific,67,animals: mammals
4389,skeleton,64,animals: features
8322,Bay of Naples,111,natural features (non-UK)
1810,shadow,70,natural phenomena
6548,caption,166,inscriptions
2472,number,166,inscriptions
3298,telephone,81,electrical appliances
749,park,18,garden structures
9961,Virginia Water,115,"UK cities, towns and villages"
471,Surrey,114,UK counties
240,canal,76,water: inland
806,summer,74,seasons
6919,fragmentation,6729,formal qualities
5104,"flag, USA / Stars and Stripes",169,religious and ceremonial
15485,"Worlidge, Thomas",102,named individuals
20116,self-portraits,20114,portraits
198,artist - non-specific,118,arts and entertainment
14013,Denmark,108,countries and continents
14012,Copenhagen - non-specific,107,"cities, towns, villages (non-UK)"
6849,cage,170,vessels and containers
570,dog - non-specific,67,animals: mammals
4279,forest,71,landscape
62,animals: birds,60,nature
2100,chicken,62,animals: birds
1115,duck,62,animals: birds
2765,goose,62,animals: birds
3051,bag,88,clothing and personal effects
1048,square,28,"townscapes, man-made features"
1256,mule,67,animals: mammals
650,path,28,"townscapes, man-made features"
5848,tunnel,28,"townscapes, man-made features"
8364,St Gotthard Pass,111,natural features (non-UK)
12285,"Richmond, Richmond Bridge",9301,UK London
1204,River Thames,112,UK natural features
8407,man-made landmarks (non-UK),106,places
3561,Germany,108,countries and continents
10514,Bingen - non-specific,107,"cities, towns, villages (non-UK)"
5212,military,27,ruins
10516,River Nahe,111,natural features (non-UK)
4386,River Rhine,111,natural features (non-UK)
12584,Burg Ehrenfels,8407,man-made landmarks (non-UK)
1133,goat,67,animals: mammals
181,"classical myths: events, themes",132,religion and belief
710,cowherd,117,agriculture and fishing
3302,goatherd,117,agriculture and fishing
913,waterfall,76,water: inland
9537,Arcadia,181,"classical myths: events, themes"
117,agriculture and fishing,116,work and occupations
607,Hampshire,114,UK counties
3385,Portsmouth,115,"UK cities, towns and villages"
2448,skull,93,body
90,weapons,78,objects
619,sword,90,weapons
7484,"Fonthill, Fonthill Abbey",115,"UK cities, towns and villages"
1012,country house,26,residential
2659,Wiltshire,114,UK counties
2648,sculpture,80,fine arts and music
7000,Austria,108,countries and continents
997,city wall,28,"townscapes, man-made features"
8513,gate,28,"townscapes, man-made features"
8142,Saint-Cloud - non-specific,107,"cities, towns, villages (non-UK)"
538,bird - non-specific,62,animals: birds
98,nudes,91,people
519,female,98,nudes
224,organic,189,from recognisable sources
63,animals: fantastic,60,nature
68,animals: reptiles,60,nature
4665,antelope,67,animals: mammals
1800,animal / human,63,animals: fantastic
8576,tortoise,68,animals: reptiles
4431,antler,64,animals: features
8616,hoof,64,animals: features
1573,wing,64,animals: features
7805,River Mosel,111,natural features (non-UK)
10365,Alken,107,"cities, towns, villages (non-UK)"
14118,Gondorf - non-specific,107,"cities, towns, villages (non-UK)"
14119,Lehmen,107,"cities, towns, villages (non-UK)"
4032,clergyman,120,religious
1612,bowing,177,actions: expressive
5207,pleading,177,actions: expressive
2057,vestments,151,dress: ceremonial/royal
529,window,17,features
151,dress: ceremonial/royal,145,society
2732,St Paul's Cathedral,9301,UK London
2332,heathland,71,landscape
3909,gorse,72,plants and flowers
204,painting,80,fine arts and music
247,dock,28,"townscapes, man-made features"
206,studio,46,workspaces
1200,easel,80,fine arts and music
2835,paintbrush,80,fine arts and music
480,male,98,nudes
2793,"artist, painter",118,arts and entertainment
661,model,118,arts and entertainment
13834,Kahlenberg,111,natural features (non-UK)
3684,River Rhône,111,natural features (non-UK)
275,kissing,177,actions: expressive
12050,Aachen - non-specific,107,"cities, towns, villages (non-UK)"
15015,"Albano, F., painting",10639,"fine art and design, named works"
1503,flying,92,actions: postures and motions
531,baby,94,children
10639,"fine art and design, named works",78,objects
5940,"East Cowes, East Cowes Castle",115,"UK cities, towns and villages"
2369,plant,72,plants and flowers
1531,Isle of Wight,114,UK counties
4951,conservatory,41,domestic
8815,Jumièges,107,"cities, towns, villages (non-UK)"
9437,epiphyllum,72,plants and flowers
527,interior - non-specific,41,domestic
79,"agriculture, gardening & fishing",78,objects
2871,Lincolnshire,114,UK counties
2567,trader,180,trading and commercial
9250,"Sleaford, St Denys's Church",115,"UK cities, towns and villages"
6523,wheelbarrow,79,"agriculture, gardening & fishing"
13609,market,24,public and municipal
16102,"Hepburn, Henry, Dr",102,named individuals
1122,obesity,178,diseases and conditions
178,diseases and conditions,91,people
2289,village,28,"townscapes, man-made features"
1698,stream,76,water: inland
18592,photographic studio,46,workspaces
179,ethnicity,91,people
6412,"gun, machine gun",90,weapons
17884,documentary,6729,formal qualities
4084,Lebanon,108,countries and continents
4144,Middle Eastern,179,ethnicity
12833,cultural identity,6927,lifestyle and culture
18646,"El Madani, Hasham, photograph",10639,"fine art and design, named works"
18661,"Jawhar, Hassan",102,named individuals
9247,Sidon,107,"cities, towns, villages (non-UK)"
17488,Palestinian,183,nationality
183,nationality,145,society
18660,politics: Lebanon,38,politics and society
5446,uniform / kit,88,clothing and personal effects
17402,sacrifice - sheep skull,1030,abstract concepts
36,military: World War I,33,history
13039,mutilated,178,diseases and conditions
986,wounded,178,diseases and conditions
17403,mental illness - sheep skull,163,emotional states and conditions
787,bandage,171,medical
266,sheep,67,animals: mammals
795,horror,31,emotions and human qualities
3592,war,158,social comment
3829,World War I - non-specific,36,military: World War I
1851,skull,64,animals: features
163,emotional states and conditions,162,symbols & personifications
1030,abstract concepts,162,symbols & personifications
171,medical,78,objects
17401,"Owen, Wilfred, 'Anthem for Doomed Youth'",58,literature (not Shakespeare)
14046,Neumagen-Dhron,107,"cities, towns, villages (non-UK)"
14048,Piesport,107,"cities, towns, villages (non-UK)"
3381,Belgium,108,countries and continents
13930,Château de Chokier,8407,man-made landmarks (non-UK)
243,"boat, gondola",161,transport: water
2042,pier,28,"townscapes, man-made features"
3225,"Venice, Grand Canal",107,"cities, towns, villages (non-UK)"
14117,Dieblich,107,"cities, towns, villages (non-UK)"
10368,Kobern,107,"cities, towns, villages (non-UK)"
12238,"Bruges, Notre-Dame",107,"cities, towns, villages (non-UK)"
999,church,45,religious
45,religious,40,interiors
9257,"Tours, St Julien's Church",107,"cities, towns, villages (non-UK)"
9329,diagrammatic,6729,formal qualities
9333,architectural plan / elevation,166,inscriptions
10298,"Calais, Fort Rouge",107,"cities, towns, villages (non-UK)"
1454,"woman, old",95,adults
17375,Maltman,102,named individuals
3232,knight,869,royalty and social rank
1901,headdress,88,clothing and personal effects
868,helmet,88,clothing and personal effects
57,"tales, legends and traditional",55,literature and fiction
7042,period: Middle Ages,38,politics and society
1257,shield,90,weapons
767,candle,85,heating and lighting
506,field,71,landscape
874,tent,26,residential
5852,chapel,45,religious
3821,Arthurian legend,57,"tales, legends and traditional"
4634,"Malory, Thomas, Sir, 'Le Morte d'Arthur'",58,literature (not Shakespeare)
1567,seafront,28,"townscapes, man-made features"
7770,River Tiber,111,natural features (non-UK)
991,Israel,108,countries and continents
8249,Jericho,107,"cities, towns, villages (non-UK)"
1831,palm,1809,trees
3924,desert,71,landscape
5988,"gun, rifle",90,weapons
878,spear,90,weapons
1250,Shropshire,114,UK counties
4308,foundry,19,industrial
10584,"Coalbrookdale, Bedlam Furnace",115,"UK cities, towns and villages"
10353,Michaelslei,111,natural features (non-UK)
10352,Urzig,107,"cities, towns, villages (non-UK)"
5376,"Hamilton, Emma, Lady",102,named individuals
3429,Circe,141,classical myths: gods and heroes
625,landscape - non-specific,71,landscape
5594,"Sherman, Cindy",102,named individuals
6460,fancy dress / role play,153,dress: fantasy/fancy
2241,coat,88,clothing and personal effects
1554,headscarf,88,clothing and personal effects
153,dress: fantasy/fancy,145,society
3826,photographer,118,arts and entertainment
1726,bus,160,transport: land
10325,putto,141,classical myths: gods and heroes
14746,sleeping,175,actions: processes and functions
13657,"Charleville-Mézières, Notre-Dame d'Espérance",107,"cities, towns, villages (non-UK)"
1832,branch,1809,trees
7564,"Dover, Dover Castle",115,"UK cities, towns and villages"
2104,wave,73,seascapes and coasts
3617,sailor,180,trading and commercial
1266,"boat, rowing",161,transport: water
3219,"boat, steam",161,transport: water
2355,"ship, sailing",161,transport: water
3242,"ship, steam",161,transport: water
800,wind,77,weather
19668,cauldron,84,kitchen
7125,craftsman,124,industrial and crafts
450,workshop,46,workspaces
901,bucket,170,vessels and containers
1951,flask,170,vessels and containers
124,industrial and crafts,116,work and occupations
9364,painting materials,80,fine arts and music
147,crime and punishment,145,society
155,government and politics,145,society
5365,corruption,158,social comment
18270,human rights,158,social comment
2497,murder,147,crime and punishment
18256,"politics: Argentina, 'The Dirty War', 1976-1983",38,politics and society
9545,Spanish text,166,inscriptions
1960,date,166,inscriptions
9326,printed text,166,inscriptions
12407,political corruption,155,government and politics
3566,totalitarianism,155,government and politics
1968,violence,30,universal concepts
10559,Ebernburg,107,"cities, towns, villages (non-UK)"
10558,Rheingrafenstein,107,"cities, towns, villages (non-UK)"
818,reed,72,plants and flowers
6217,water-lily,72,plants and flowers
1936,washing line,83,domestic
8711,"Bodiam, Bodiam Castle",115,"UK cities, towns and villages"
199,palette,80,fine arts and music
12642,"Tonks, Henry",102,named individuals
3517,statue,21,monuments
654,Oxfordshire,114,UK counties
10453,"Oxford, Queen's College",115,"UK cities, towns and villages"
4898,stonework,17,features
503,cottage,26,residential
23105,Clayhidon,115,"UK cities, towns and villages"
476,sunlight,77,weather
1541,Blackdown Hills,112,UK natural features
457,farmland,71,landscape
4209,erotic,153,dress: fantasy/fancy
6730,eroticism,157,sex and relationships
4235,stocking,88,clothing and personal effects
3122,underwear,88,clothing and personal effects
9024,repetition,6729,formal qualities
1219,legs crossed,92,actions: postures and motions
9764,Igel,107,"cities, towns, villages (non-UK)"
10344,Pallien - non-specific,107,"cities, towns, villages (non-UK)"
10343,Trier - non-specific,107,"cities, towns, villages (non-UK)"
8903,Roman,22,periods and styles
841,curtain,82,furnishings
4373,obelisk,21,monuments
12873,dreaming,178,diseases and conditions
11199,sleepwalking,178,diseases and conditions
2353,decay,30,universal concepts
4771,mystery,30,universal concepts
1011,balustrade,17,features
971,door,17,features
587,stair / step,17,features
4989,terrace,17,features
701,drapery,88,clothing and personal effects
172,scientific and measuring,78,objects
3574,sundial,172,scientific and measuring
1977,mask,88,clothing and personal effects
1639,tie,88,clothing and personal effects
3160,Lancashire,114,UK counties
8185,"River Lune, Crook of Lune",112,UK natural features
2097,Livorno - non-specific,107,"cities, towns, villages (non-UK)"
9010,battlement,17,features
1727,cathedral,25,religious
5377,rainbow,70,natural phenomena
2867,"Durham, Durham Castle",115,"UK cities, towns and villages"
9145,"Durham, Durham Cathedral",115,"UK cities, towns and villages"
1151,dome,17,features
1262,Cumbria,114,UK counties
7367,"Kirkstall, Kirkstall Abbey",115,"UK cities, towns and villages"
5007,Leeds,114,UK counties
1747,topiary,18,garden structures
16830,female - tree,848,gender
863,gender,158,social comment
1077,foot,93,body
1076,leg,93,body
848,gender,162,symbols & personifications
1029,shoe,88,clothing and personal effects
244,arch,17,features
222,man-made,189,from recognisable sources
1695,electrical component,81,electrical appliances
1711,"Napoleonic Wars, 1796-1815",35,military
5875,"Trafalgar, Battle, 21 Oct 1805",35,military
35,military,33,history
9910,battle,128,military
3023,sailor,128,military
1163,"ship, warship",161,transport: water
7825,"ship, warship, 'HMS Victory'",161,transport: water
3752,"Edinburgh, Edinburgh Castle",115,"UK cities, towns and villages"
1719,Scotland,113,UK countries and regions
7098,Edinburgh,114,UK counties
2987,bell tower,25,religious
235,"Venice, Piazetta",107,"cities, towns, villages (non-UK)"
6868,"Venice, San Marco",107,"cities, towns, villages (non-UK)"
8133,River Loire,111,natural features (non-UK)
975,sun,69,astronomy
5950,"Venice, Dogana",107,"cities, towns, villages (non-UK)"
5647,"Venice, Santa Maria della Salute",107,"cities, towns, villages (non-UK)"
1260,Lake District,113,UK countries and regions
10819,Castle Head,112,UK natural features
481,Greek text,166,inscriptions
8494,word,166,inscriptions
1079,hand,93,body
1152,courtyard,28,"townscapes, man-made features"
13390,stone,70,natural phenomena
487,egg,64,animals: features
458,ladder,86,tools and machinery
8561,"Keaton, Buster",102,named individuals
11217,comedian,118,arts and entertainment
23,places of entertainment,13,architecture
6198,Vesuvius,111,natural features (non-UK)
11774,Pompeii - non-specific,107,"cities, towns, villages (non-UK)"
11829,place of entertainment,27,ruins
3303,amphitheatre,23,places of entertainment
6199,volcano,71,landscape
5689,cartouche,17,features
7391,"politician, Member of Parliament",130,public service
1946,lawyer,125,crime and punishment
7071,"Lee, George, Sir",102,named individuals
125,crime and punishment,116,work and occupations
130,public service,116,work and occupations
5040,wig,88,clothing and personal effects
6925,cubist space,6729,formal qualities
4736,Northumberland,114,UK counties
2111,medieval,22,periods and styles
8362,Dunstanburgh Castle,8285,UK man-made landmarks
1733,bathing / swimming,52,recreational activities
1615,spring,74,seasons
1600,Dorset,114,UK counties
2270,blossom,1809,trees
2408,Swanage - non-specific,115,"UK cities, towns and villages"
2392,boating,52,recreational activities
1047,parasol,88,clothing and personal effects
6171,mist,77,weather
5826,"ship, hulk",161,transport: water
5822,River Medway,112,UK natural features
1269,eating,48,eating and drinking
1027,lightbulb,85,heating and lighting
22783,fork,84,kitchen
209,street,28,"townscapes, man-made features"
1473,shop,24,public and municipal
1113,prostitution,157,sex and relationships
3981,menace,30,universal concepts
4503,café,43,places of entertainment
2223,waiter / waitress,180,trading and commercial
6755,anonymity,31,emotions and human qualities
3507,"dog, Pomeranian",67,animals: mammals
778,convolvulus,72,plants and flowers
2285,rocky,73,seascapes and coasts
10847,Clovelly,115,"UK cities, towns and villages"
8031,falsehood - fighting figure,1030,abstract concepts
8030,truth - fighting figure,1030,abstract concepts
545,fighting,177,actions: expressive
1118,drinking,61,animals: actions
61,animals: actions,60,nature
2621,stable,14,agricultural
8832,"Tancarville, Château de Tancarville",107,"cities, towns, villages (non-UK)"
15772,chart,174,"reading, writing, printed matter"
5442,buoy,287,miscellaneous
3071,"boat, yacht",161,transport: water
6132,compass,172,scientific and measuring
6128,ruler,172,scientific and measuring
5427,lantern,85,heating and lighting
2095,fishing net,79,"agriculture, gardening & fishing"
6095,float,79,"agriculture, gardening & fishing"
2455,residential,27,ruins
3379,townscape,27,ruins
5271,oven,84,kitchen
7556,colonnade,17,features
25969,bakery,24,public and municipal
514,classical,22,periods and styles
2357,Suffolk,114,UK counties
4715,"Hickbush, The Grove",115,"UK cities, towns and villages"
3235,dress,88,clothing and personal effects
2303,"hat, bonnet",88,clothing and personal effects
736,bed,82,furnishings
877,dysfunction,30,universal concepts
22784,spoon,84,kitchen
264,bowl,170,vessels and containers
5021,Bristol Channel,112,UK natural features
9050,"Dunster, Dunster Castle",115,"UK cities, towns and villages"
9051,Minehead,115,"UK cities, towns and villages"
1559,Somerset,114,UK counties
8413,Pyramids,8407,man-made landmarks (non-UK)
15814,Sphinx,8407,man-made landmarks (non-UK)
4408,letter of alphabet,166,inscriptions
12968,question mark,166,inscriptions
1147,Egypt,108,countries and continents
9501,"Garbo, Greta",102,named individuals
765,car,160,transport: land
16163,Malcolm X,102,named individuals
4796,policeman / policewoman,125,crime and punishment
4765,assassination,147,crime and punishment
3115,"politician, political leader",130,public service
7434,Folkestone - non-specific,115,"UK cities, towns and villages"
1208,seagull,62,animals: birds
5735,cherub,5731,universal religious imagery
11495,gravestone / tomb,169,religious and ceremonial
16008,"Boxted, All Saints Church",115,"UK cities, towns and villages"
9136,Cologne - non-specific,107,"cities, towns, villages (non-UK)"
9309,Gledhow Hall,8285,UK man-made landmarks
7620,River Ure,112,UK natural features
5477,"Yorkshire, North",114,UK counties
13448,Aldborough - non specific,115,"UK cities, towns and villages"
17464,exhibition,51,art and craft
6951,stamp,166,inscriptions
13610,"artist, multi-media",118,arts and entertainment
18920,"exhibition: 'Beuys', Artforum, Munich, 1990",18725,arts
18921,"Munich, Adelgundenstrasse 11",107,"cities, towns, villages (non-UK)"
18725,arts,33,history
16421,"Beuys, Joseph",102,named individuals
51,art and craft,47,leisure and pastimes
846,suit,88,clothing and personal effects
3289,coat hanger,83,domestic
1998,felt,287,miscellaneous
8056,protection - felt,163,emotional states and conditions
6472,embryo / foetus,93,body
15934,mulberry,1809,trees
7361,cell structure,70,natural phenomena
8468,Catherine,102,named individuals
5671,dictionary definition,166,inscriptions
1704,irony,30,universal concepts
2438,pun,30,universal concepts
614,storm,77,weather
8432,gallery,41,domestic
3646,commerce,158,social comment
4063,consumerism,158,social comment
1308,ecology,158,social comment
16892,globalization,158,social comment
827,industrial society,158,social comment
15901,fragility,6729,formal qualities
6741,visual illusion,6729,formal qualities
20123,community - sunflower seed,8024,society
8024,society,162,symbols & personifications
2998,China,108,countries and continents
20119,"revolution: Cultural Revolution, People's Republic of China, 1966",38,politics and society
2433,seed,72,plants and flowers
7100,Firth of Forth,112,UK natural features
755,grass,72,plants and flowers
10478,lying down,61,animals: actions
2016,phrase,166,inscriptions
