subjectId,subjectName,count
/0,"Bolzano, Runkelstein Castle",52188
/0,"Bomberg, Kitty",52188
/0,Bonar Bridge,52188
/0,"Bonington, Richard Parkes, painting",52188
/0,"Bonn, Bundestag",52188
/0,"Bonn, Kunsthalle",52188
/0,"Bonn, Städtisches Kunstmuseum",52188
/0,"Bonnard, Marthe",52188
/0,Bonnington Linn,52188
/0,Bonnières-sur-Seine,52188
/0,Bonsecours,52188
/0,"Book, Coltman, Nathan, 'The British Itinery'",52188
/0,"Boothby, Brooke, 7th Bt",52188
/0,Boppard,52188
/0,Boreas,52188
/0,"Borlase, Anne",52188
/0,Borthwick Castle,52188
/0,Boscastle,52188
/0,Bossiney,52188
/0,Boston - non-specific,52188
/0,"Boston, Newbury Street 167 , Harcus Krakow Gallery",52188
/0,"Boswell, James, 'Life of Johnson'",52188
/0,"Botallack, Botallack Mine",52188
/0,"Bothal, Bothal Castle",52188
/0,"Bothal, St Andrew's Church",52188
/0,"Bothwell, Bothwell Castle",52188
/0,"Botticelli, painting, 'Simonetta'",52188
/0,"Bougival, Château de la Chaussée",52188
/0,Bourne End,52188
/0,"Bournemouth, Central Gardens",52188
/0,Bowness-on-Windermere,52188
/0,"Bowyer, Robert, 'History of England'",52188
/0,"Boxford, St Mary's Church",52188
/0,"Boxted, All Saints Church",52188
/0,"Boyce, Sonia",52188
/0,Boyne Castle,52188
/0,Boyton,52188
/0,Bozouls,52188
/0,Bradford,52188
/0,Brading,52188
/0,Braithwaite,52188
/0,"Brampton, Henry Hawkins, 1st Baron",52188
/0,"Brancepeth, Brancepeth Castle",52188
/0,"Brandt, Bill",52188
/0,Brassai,52188
/0,Bratislava,52188
/0,"Bray, Jesus Hospital",52188
/0,Brecon - non-specific,52188
/0,Brecon Beacons,52188
/0,"Brecon, Brecon Castle",52188
/0,Bregenz,52188
/0,"Breitmore, Roberta",52188
/0,Bremm,52188
/0,Brentford,52188
/0,Brescia - non-specific,52188
/0,Bressanone,52188
/0,Brest - non-specific,52188
/0,"Brest, Church of St Louis",52188
/0,"Breton, André",52188
/0,"Breton, André, 'Nadja'",52188
/0,Bridgend,52188
/0,"Bridges, Frances Maria Yale",52188
/0,"Bridges, Robert Seymour",52188
/0,Bridgnorth,52188
/0,Briedel,52188
/0,"Brighton, Chain Pier",52188
/0,"Brighton, King's Road",52188
/0,"Brighton, Marine Parade, Royal Albion Hotel",52188
/0,"Brignall, Edith",52188
/0,Bristol Channel,52188
/0,"Bristol, Blaise Castle",52188
/0,"Bristol, Clifton Observatory",52188
/0,"Bristol, St Mary Le Port",52188
/0,"Bristol, St Mary Redcliffe Church",52188
/0,"Bristol, Stoke House",52188
/0,"Bristol, Westbury-on-Trym, Cote House",52188
/0,Britain - Britannia,52188
/0,British War Art,52188
/0,Brixham,52188
/0,Broadstairs - non-specific,52188
/0,"Broadstairs, North Foreland Lighthouse",52188
/0,Brocas,52188
/0,"Brochel, Brochel Castle",52188
/0,Brocken,52188
/0,"Brodzky, Horace",52188
/0,"Bromsgrove, Avoncroft Museum",52188
/0,Brothers Water,52188
/0,Brothers Water Inn,52188
/0,Brougham Castle,52188
/0,"Broughton, St Mary's Church",52188
/0,"Broughty Ferry, Broughty Castle",52188
/0,"Brown, David",52188
/0,"Brown, Joe E.",52188
/0,"Browning, Elizabeth Barrett, 'A Court Lady'",52188
/0,Browsholme Hall,52188
/0,"Bruges, Hôtel de Ville",52188
/0,"Bruges, Minnewater",52188
/0,"Bruges, St Saviour's Church",52188
/0,Brunnen,52188
/0,"Brunsbuttel, Stadtgalerie",52188
/0,"Brunswick, Herzog Anton Ulrich Museum",52188
/0,"Brunswick, Lessingplatz 12 , Haus Salve Hospes",52188
/0,"Brussels, Palais de la Nation",52188
/0,"Brutus, Marcus Junius",52188
/0,"Bryant, William Cullen, 'The Battle-Field'",52188
/0,"Buchanan, Mary",52188
/0,"Buckden, Buckden Towers",52188
/0,"Buckfastleigh, Buckfastleigh Abbey",52188
/0,"Buckley, Stephen",52188
/0,"Buckley, Stephen, Mrs",52188
/0,"Bude, Compass Point",52188
/0,"Buenos Aires, Casa Rosada",52188
/0,Bugs Bunny,52188
/0,"Bull, Elizabeth",52188
/0,Bullay,52188
/0,"Bunbury, Charles, Sir",52188
/0,Burg,52188
/0,Burg Bischofstein,52188
/0,Burg Coraidelstein,52188
/0,Burg Eltz,52188
/0,Burg Gutenfels,52188
/0,Burg Hals,52188
/0,Burg Klopp,52188
/0,Burg Lahneck,52188
/0,Burg Metternich,52188
/0,Burg Nollig,52188
/0,Burg Reichenberg,52188
/0,Burg Reichenstein,52188
/0,Burg Reschenstein,52188
/0,Burg Rheinstein / Bautsburg,52188
/0,Burg Sooneck,52188
/0,Burg Stahleck,52188
/0,Burg Sterrenberg,52188
/0,"Burge, Bella",52188
/0,"Burge, Dick",52188
/0,"Burgess, Thomas",52188
/0,Burghead,52188
/0,Burghead Bay,52188
/0,Burghley House,52188
/0,"Burke, Robert O'Hara",52188
/0,"Burns, Robert",52188
/0,Bushey,52188
/0,"Bute, 3rd Earl of, children",52188
/0,Buttermere,52188
/0,Buxton,52188
/0,"Byron, George Gordon Byron, 6th Baron",52188
/0,"Byron, George Gordon, Lord - non-specific",52188
/0,"Byron, George Gordon, Lord, 'Mazeppa'",52188
/0,"Bywater, Ingram, Professor",52188
/0,Böblinger,52188
/0,Cader Idris,52188
/0,"Caernarfon, Caernarfon Castle",52188
/0,Calais - non-specific,52188
/0,"Calais, Fort Rouge",52188
/0,"Calais, Hôtel de Ville",52188
/0,"Calais, Notre Dame",52188
/0,"Calais, Siege, 1346-7",52188
/0,"Calais, Tour de Guet",52188
/0,"Calcutta, Grand Hotel",52188
/0,Caligula's Palace,52188
/0,"Calloway, Cab",52188
/0,Calshot - non-specific,52188
/0,Camasunary,52188
/0,Camberwell - non-specific,52188
/0,"Camberwell, Burgess Park",52188
/0,Cambridge - non-specific,52188
/0,"Camden, Belsize Park",52188
/0,"Camden, Camden High Street, Beford Palace of Varieties",52188
/0,Camperdown,52188
/0,"Camperdown, Battle, 11 Oct 1797",52188
/0,Campo Elisio,52188
/0,Campsie Fells,52188
/0,"Camus, Albert - non specific",52188
/0,"Candaules, Nyssia and Gyges, circa 718 BC",52188
/0,Candy Darling,52188
/0,Canmore,52188
/0,"Canning, George",52188
/0,Canterbury - non-specific,52188
/0,"Canterbury, Canterbury Castle",52188
/0,"Canterbury, Christ Church Gate",52188
/0,"Canterbury, St Stephens, Hales Place",52188
/0,"Canterbury, Thanington, Tonford Manor",52188
/0,"Cantor, Eddie",52188
/0,"Canyon of Death, massacre, 16th c.",52188
/0,Capesthorne Hall,52188
/0,Capo di Ponte,52188
/0,Caprarola - non-specific,52188
/0,"Caprarola, Palazzo Farnese",52188
/0,"Capua, Ponte Romano",52188
/0,Cardiganshire,52188
/0,Carew - non-specific,52188
/0,Carew River,52188
/0,"Carew, Carew Castle",52188
/0,Carline Family,52188
/0,"Carline, Anne",52188
/0,"Carline, Nancy",52188
/0,Carlisle - non specific,52188
/0,"Carlyle, Thomas",52188
/0,Carmarthen Bay,52188
/0,Carn Galver,52188
/0,"Carracci, Annibale, painting, 'Marsyas and Olympus'",52188
/0,Carrara,52188
/0,Carrick Roads,52188
/0,Carrière family,52188
/0,"Carrière, Nelly",52188
/0,"Carroll, Lewis, 'Alice's Adventures in Wonderland'",52188
/0,"Carroll, Lewis, 'Through the Looking-Glass ...'",52188
/0,Carrow Abbey Hunt members,52188
/0,"Carson, Willie",52188
/0,Carthage,52188
/0,"Carthaginian Empire, Regulus's captivity, circa 255 BC",52188
/0,"Carthaginian Empire, decline, circa 146 BC",52188
/0,Cartmel Fell,52188
/0,"Cassirer, Richard, Professor",52188
