id,material
19149,"on paper, print Lithograph on paper"
48921,"on paper, unique Graphite on paper"
49020,"on paper, unique Graphite on paper"
1160,"on paper, print Line-engraving on paper"
48088,"on paper, unique Graphite on paper"
53856,"on paper, unique Graphite on paper"
51457,"on paper, unique Graphite on paper"
27458,"on paper, unique Watercolour on paper"
5963,painting Oil paint and sand on canvas
35740,"on paper, unique Graphite on paper"
6062,sculpture Purbeck marble on concrete base
48920,"on paper, unique Graphite on paper"
46523,"on paper, unique Graphite on paper"
19146,"on paper, print Lithograph on paper"
47987,"on paper, unique Graphite on paper"
53853,"on paper, unique Graphite on paper"
48087,"on paper, unique Graphite on paper"
27457,"on paper, unique"
29850,"on paper, unique"
35741,"on paper, unique"
6063,sculpture Bronze
46524,"on paper, unique Graphite on paper"
44129,"on paper, unique"
27456,"on paper, unique Graphite on paper"
19147,"on paper, print Lithograph on paper"
47988,"on paper, unique"
48086,"on paper, unique Graphite on paper"
29851,"on paper, unique"
53854,"on paper, unique Graphite on paper"
51459,"on paper, unique Graphite on paper"
49025,"on paper, unique Graphite on paper"
27455,"on paper, unique Graphite and watercolour on paper"
3560,"on paper, print Aquatint on paper"
25058,"on paper, unique Chalk on paper"
48926,"on paper, unique Graphite on paper"
24959,"on paper, unique Graphite on paper"
1163,"on paper, print Wood engraving on paper"
46529,"on paper, unique Graphite on paper"
51454,"on paper, unique Graphite on paper"
53851,"on paper, unique Graphite on paper"
29852,"on paper, unique"
49024,"on paper, unique Graphite on paper"
30842,"on paper, unique"
48925,"on paper, unique Graphite on paper"
27454,"on paper, unique Graphite on paper"
69539,"on paper, unique Ink on paper"
1164,"on paper, print Wood engraving on paper"
121732,"on paper, print 21 sheets of printed paper, paper cover and staple bound"
53852,"on paper, unique Graphite on paper"
51453,"on paper, unique Graphite on paper"
25059,"on paper, unique Graphite and ink on paper"
29853,"on paper, unique"
46527,"on paper, unique Graphite on paper"
49023,"on paper, unique Graphite on paper"
25056,"on paper, unique Graphite and watercolour on paper"
48924,"on paper, unique Graphite on paper"
27453,"on paper, unique Graphite on paper"
1161,"on paper, print Line-engraving on paper"
24957,"on paper, unique Graphite on paper"
69538,"on paper, unique Ink and graphite on paper. Verso: graphite on paper"
56350,"on paper, unique Graphite on paper"
87251,painting Tempera on paper
51456,"on paper, unique Graphite on paper"
29854,"on paper, unique"
27452,"on paper, unique Graphite on paper"
5960,"on paper, unique Ink and watercolour on paper"
49022,"on paper, unique Graphite on paper"
29855,"on paper, unique"
48923,"on paper, unique Graphite on paper"
25057,"on paper, unique Chalk and wax on paper"
30840,"on paper, unique"
1162,"on paper, print Line-engraving on paper"
24958,"on paper, unique Graphite on paper"
46528,"on paper, unique Graphite on paper"
69537,"on paper, unique Ink, graphite and watercolour on paper"
53850,"on paper, unique Graphite on paper"
56351,"on paper, unique Graphite on paper"
51455,"on paper, unique Graphite on paper"
87250,"sculpture Galvanized steel, bronze and PVC"
38242,"on paper, unique"
3564,"on paper, print Aquatint on paper"
11755,"on paper, print Etching on paper"
29856,"on paper, unique"
41624,"on paper, unique Graphite on paper"
35746,"on paper, unique Graphite on paper"
47981,"on paper, unique Graphite on paper"
43188,"on paper, unique Graphite on paper"
45584,"on paper, unique Graphite on paper"
67139,painting Oil paint on canvas
69536,"on paper, unique Ink and graphite on paper"
51450,"on paper, unique Graphite on paper"
1168,"on paper, print Wood engraving on paper"
48081,"on paper, unique Graphite on paper"
44120,"on paper, unique"
3565,"on paper, print Aquatint on paper"
38241,"on paper, unique Graphite on paper"
3563,"on paper, print Aquatint on paper"
29857,"on paper, unique"
11754,"on paper, print Screenprint on paper"
41625,"on paper, unique Graphite on paper"
35747,"on paper, unique Graphite on paper"
47982,"on paper, unique Graphite on paper"
69535,"on paper, unique Ink on paper"
43187,"on paper, unique Graphite on paper"
45583,"on paper, unique Graphite on paper"
1169,"on paper, print Wood engraving on paper"
2100,"on paper, print Lithograph on paper"
87252,painting Oil paint on canvas
48080,"on paper, unique Graphite on paper"
41626,"on paper, unique Graphite on paper"
3562,"on paper, print Aquatint on paper"
44122,"on paper, unique"
38244,"on paper, unique Graphite on paper"
11753,"on paper, print Etching on paper"
29858,"on paper, unique"
69534,"on paper, unique Ink on paper"
35748,"on paper, unique Graphite on paper"
1165,"on paper, print Wood engraving on paper"
51452,"on paper, unique Graphite on paper"
45586,"on paper, unique Graphite on paper"
3561,"on paper, print Aquatint on paper"
29859,"on paper, unique"
11752,"on paper, print Lithograph on paper"
41627,"on paper, unique Graphite on paper"
38243,"on paper, unique Pen and ink and graphite on paper"
43189,"on paper, unique Graphite on paper"
35749,"on paper, unique Graphite and pen and ink on paper"
47980,"on paper, unique Graphite on paper"
69533,"on paper, unique Ink, graphite and watercolour on paper"
1166,"on paper, print Wood engraving on paper"
1167,"on paper, print Wood engraving on paper"
51451,"on paper, unique Graphite on paper"
45585,"on paper, unique Graphite on paper"
20160,painting Oil paint on hardboard
44121,"on paper, unique"
11751,"on paper, print Screenprint on paper"
41628,"on paper, unique Graphite on paper"
35742,"on paper, unique Graphite on paper"
44124,"on paper, unique"
46521,"on paper, unique Graphite on paper"
69532,"on paper, unique Ink and graphite on paper"
100246,painting Acrylic paint on canvas
2104,"on paper, unique Ink on paper"
4501,painting Oil paint on canvas
47985,"on paper, unique"
48085,"on paper, unique Graphite on paper"
45588,"on paper, unique Graphite on paper"
3569,"on paper, print Aquatint on paper"
64638,"on paper, unique Graphite on paper"
11750,"on paper, print Lithograph on paper"
41629,"on paper, unique Graphite on paper"
35743,"on paper, unique Graphite on paper"
46522,"on paper, unique Graphite on paper"
44123,"on paper, unique"
90620,"on paper, unique 15 hand-coloured photographs, gelatin silver print on paper on board"
4500,painting Oil paint on canvas
2105,"on paper, unique Ink on paper"
100245,"painting Acrylic paint, yoghurt pot, paper, foam on canvas"
69531,"on paper, unique Ink, graphite, watercolour and gouache on paper"
47986,"on paper, unique"
45587,"on paper, unique Graphite on paper"
48084,"on paper, unique Graphite on paper"
64639,"on paper, unique Graphite on paper"
3568,"on paper, print Aquatint on paper"
38240,"on paper, unique Graphite on paper"
44126,"on paper, unique"
35744,"on paper, unique Graphite on paper"
71571,"on paper, unique Foil paper and oil paint on paper mounted onto wood"
2102,sculpture Steel
2101,"on paper, print Lithograph on paper"
69530,"on paper, unique Watercolour, ink and graphite on paper"
47983,"on paper, unique Graphite on paper"
48083,"on paper, unique Graphite on paper"
3567,"on paper, print Aquatint on paper"
14250,"on paper, print Screenprint on paper"
35745,"on paper, unique Graphite on paper"
46520,"on paper, unique Graphite on paper"
44125,"on paper, unique"
2103,sculpture Steel
45589,"on paper, unique"
47984,"on paper, unique Graphite on paper"
48082,"on paper, unique Graphite on paper"
3566,"on paper, print Aquatint on paper"
57304,"on paper, unique Graphite on paper"
33337,"on paper, unique Graphite and watercolour on paper"
14251,"on paper, print Screenprint on paper"
280,"on paper, print Screenprint on paper"
59701,"on paper, unique Graphite on paper"
20153,"on paper, unique Ink on paper mounted onto cardboard"
58768,"on paper, unique Graphite on paper"
99496,installation Ink on banknote
62241,"on paper, unique Graphite on paper"
69540,"on paper, unique Ink and watercolour on paper"
38226,"on paper, unique"
40679,"on paper, unique"
64646,"on paper, unique Graphite on paper"
3549,"on paper, print Aquatint on paper"
22550,"on paper, unique Graphite on paper"
57305,"on paper, unique Graphite on paper"
14252,"on paper, print Screenprint on paper"
33336,"on paper, unique Graphite on paper"
59700,"on paper, unique Graphite on paper"
